,Unnamed: 0,CrossPercent,OrderedCrossPercent,MutationPercent,NumGen,GenSize,TourneyKeep,fopt,iterations,time
0,0,0.09994295342955636,0.010506749313831628,0.0134344179289704,1500.0,100.0,0.6449904881303093,1398333.099999999,1499,187.6336739063263
1,1,0.009029157972199263,0.05758509188524931,0.09399762223005424,1500.0,100.0,0.6628367767125563,2009627.6999999993,1499,255.55871486663818
2,2,0.03503846495188601,0.0034153399863891664,0.0077371430214177766,1500.0,100.0,0.7079648013566386,1379425.3,1430,149.10142874717712
3,3,0.03703892751304424,0.04898570588320721,0.059019176929637575,1500.0,100.0,0.8748326406071281,1737540.0000000007,1499,227.4778618812561
4,4,0.05026045523540066,0.09885226910489668,0.07246924207188478,1500.0,100.0,0.9467554193004948,1976276.5000000002,1499,248.6277973651886
5,5,0.01096921638434056,0.002052373501016132,0.03682630628580202,1500.0,100.0,0.9173059516036994,1378693.7999999998,1499,188.44524812698364
6,6,0.058931490945242124,0.07791423116208135,0.08987430324187974,1500.0,100.0,0.6144308644180366,2373159.6999999993,1075,193.18960285186768
7,7,0.014695518080112328,0.08026832195141921,0.029734724903908688,1500.0,100.0,0.8627743374239382,1244554.5000000007,1499,188.56231784820557
8,8,0.04718767486215189,0.0877289603421274,0.08069553769174108,1500.0,100.0,0.6368068918392494,2177810.5000000005,1096,187.597660779953
9,9,0.0728163370321184,0.029815172756732237,0.09184284200881856,1500.0,100.0,0.9762619869596396,2613908.4000000004,854,154.007892370224
10,10,0.04420573694113355,0.05430337857315013,0.06171210658004299,1500.0,100.0,0.7312614420595682,1727155.6999999995,1499,233.4330539703369
11,11,0.0796598637220247,0.06671575858381729,0.052712927140297884,1500.0,100.0,0.7188233062940724,1835336.9999999998,1499,235.21631932258606
12,12,0.006027550380199379,0.07432551455542827,0.0855547561786086,1500.0,100.0,0.6851910345799697,2022340.3000000005,1499,247.7852063179016
13,13,0.00017476075962911491,0.00798932408159753,0.026257026685068914,1500.0,100.0,0.8485925868300649,1330011.0,1499,170.88282322883606
14,14,0.0185063222759368,0.0532831680060975,0.031273137318449724,1500.0,100.0,0.9810750289802348,1288274.7,1499,194.66364097595215
15,15,0.020158881594774008,0.03154936581110313,0.09949445145702968,1500.0,100.0,0.8982573303165102,2199953.6,1499,261.1569392681122
16,16,0.028539307822618612,0.07046766386173971,0.0670930086039605,1500.0,100.0,0.8375291850253113,1919336.3999999997,1499,233.82290172576904
17,17,0.08328501875034858,0.0941642365589474,0.03500405505663595,1500.0,100.0,0.7958650613523208,1415680.7999999993,1499,219.0266797542572
18,18,0.04200073839842472,0.0441398987823831,0.07573953040776978,1500.0,100.0,0.6961479297022894,2023886.7999999998,1499,241.8321008682251
19,19,0.06796068690610628,0.06009824239437575,0.01005018895920397,1500.0,100.0,0.7766486305177078,1298760.6999999997,1417,162.67600750923157
20,20,0.09104349925091516,0.09301022589708327,0.047049872711525546,1500.0,100.0,0.9546181704043798,1594064.0000000002,1499,231.20938658714294
21,21,0.08617958718423903,0.03693410617287972,0.06442362107814709,1500.0,100.0,0.7651645200287143,1923235.8000000007,1499,243.52889776229858
22,22,0.06114912791057276,0.020391718870869317,0.02299626725704613,1500.0,100.0,0.9330654329820594,1365341.2999999993,1471,182.38181328773499
23,23,0.053566923322540615,0.015787562943273294,0.017192976266009134,1500.0,100.0,0.8102095646103168,1310695.4999999995,1316,154.17326021194458
24,24,0.06662375276981741,0.01993638747833393,0.04532054605018573,1500.0,100.0,0.6092980938773571,1505693.7000000004,1499,210.4808452129364
25,25,0.08883293694521395,0.06578995575920378,0.05454874233945098,1500.0,100.0,0.6701496751276258,1501856.2,1499,230.1703884601593
26,26,0.030929012543724082,0.03491363365440276,0.0008642324777391652,1500.0,100.0,0.83117803042457,1409596.6000000003,1499,139.1322467327118
27,27,0.0948656830699098,0.02596251154009717,0.04102878751800136,1500.0,100.0,0.7824602403802337,1451450.4000000004,1499,215.19239354133606
28,28,0.07610929583116344,0.042880722344754735,0.004123193475481928,1500.0,100.0,0.7483573530386178,1455922.9000000008,1499,163.47183990478516
29,29,0.02397285417618953,0.08629998877633734,0.07841402768365849,1500.0,100.0,0.9023084562410408,1746431.4999999995,1499,242.58676171302795
